appid,name,developer_id,developer_name,comm_count,recomm_count,screenshots_count,rate,rate_num,version,update_content,supplier,size,genre,compatibility,language,age,copyright,price
1669666037,清理专家-手机相册储存不足的优化专家,1657082110,圆圆 胡,14,6,0,4.8,"2,905",版本 1.2,新增安全专家：设置关键词，拦截骚扰短信新增安全专家：设置电话黑名单，拦截骚扰电话新增隐私专家：设置专属密码，保护图片、视频安全（密码保存在应用本地，切勿随意删除应用）新增文件压缩：压缩手机内占用存储容量过大的文件，节省存储资源新增小组件：智能小组件，添加在手机桌面实时查看手机存储情况，一键点击整理优化重复图片识别：优化识别重复图片的精确度优化重复视频识别：优化识别重复视频的精确度,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1619262787,完美小组件 - 万能小组件，TopWidget,1619262789,"Shenzhen Yunxiang Interactive Technology Co., LTD",23,6,0,4.7,"1,224",版本 3.0.6,1.fix some bugs,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1468244744,爱聊-原陌声交友,1575516980,"Shenzhen Jinyun Network Technology Co., Ltd",500,6,0,3.8,4.3万,版本 5.7.4,修复bug，性能优化,"Shenzhen Jinyun Network Technology Co., Ltd",300.4 MB,社交,iPhone设备需装有iOS10.0或更高版本。iPod touch设备需装有iOS10.0或更高版本。Mac需要macOS 11.0或更高版本以及装有Apple M1或更高版本芯片的Mac。,英文,17+，频繁/强烈的成人或性暗示题材，偶尔/轻微的色情内容或裸露，偶尔/轻微的亵渎或低俗幽默,免费,"70金币
¥8.00


50金币
¥3.00


350金币
¥30.00


1140金币
¥98.00


70金币
¥8.00


350金币
¥30.00


210金币
¥18.00


70金币
¥6.00


1140金币
¥98.00


3470金币
¥298.00"
1243415475,澜渟-盆底肌修复锻炼、凯格尔运动神器,738366481,"Nanjing Medo Health Technology Co., Ltd.",61,8,0,4.1,138,版本 5.3.41,细节优化，提升用户体验。,"Nanjing Medo Health Technology Co., Ltd.",288.9 MB,医疗,iPhone设备需装有iOS11.0或更高版本。iPad设备需装有iPadOS11.0或更高版本。iPod touch设备需装有iOS11.0或更高版本。,英文,17+，偶尔/轻微的成人或性暗示题材，偶尔/轻微的医药或医疗信息，无限制网页访问,免费,"33澜渟币
¥58.00


12澜渟币
¥22.00


4澜渟币
¥8.00


200澜渟币
¥298.00


418澜渟币
¥698.00


333澜渟币
¥498.00


8澜渟币
¥15.00


90澜渟币
¥148.00


60澜渟币
¥88.00


19澜渟币
¥28.00"
1207701288,葫芦侠-游戏社区,1207701287,广州侠聚网络科技有限公司,500,6,0,3.1,1.1万,版本 1.2.2,Apple 已更新此 App 以显示 Apple Watch App 图标。修复Bug,"Guangzhou Xiaju Information Technology Co., Ltd.",24.6 MB,社交,iPhone设备需装有iOS8.0或更高版本。iPad设备需装有iPadOS8.0或更高版本。iPod touch设备需装有iOS8.0或更高版本。Mac需要macOS 11.0或更高版本以及装有Apple M1或更高版本芯片的Mac。,简体中文， 英文,17+，频繁/强烈的色情内容或裸露,© 2014 Xiaju Inc,免费
1032287195,Soul-Soul一下，有点开心,1057410305,Shanghai Soul Gate Technology Limited Corporation,500,6,0,4.8,191.6万,版本 4.86.0,例行更新，如您有不良的体验升级试试1、 优化使用体验2、问题修复&性能提升,Shanghai Soul Gate Technology Limited Corporation,419.1 MB,社交,iPhone设备需装有iOS11.0或更高版本。iPad设备需装有iPadOS11.0或更高版本。iPod touch设备需装有iOS11.0或更高版本。Mac需要macOS 11.0或更高版本以及装有Apple M1或更高版本芯片的Mac。,简体中文， 繁体中文， 英文,17+，偶尔/轻微的成人或性暗示题材，无限制网页访问，偶尔/轻微的卡通或幻想暴力,免费,"60soul币
¥12.00


170soul币
¥30.00


590soul币
¥98.00


飞行权益包包月
¥12.00


5 Soul币
¥1.00


超级星人包月
¥30.00


飞行权益包单月
¥18.00


超级星人包季
¥68.00


60soul币
¥12.00


6soul币
¥1.00"
956077224,哈佛商业评论,388836099,Beijing Caijing Magazine Limited,431,9,0,4.2,344,版本 1.10.7,1. 修复Bug,Beijing Caijing Magazine Limited,46.5 MB,报刊杂志,iPhone设备需装有iOS9.0或更高版本。iPod touch设备需装有iOS9.0或更高版本。Mac需要macOS 11.0或更高版本以及装有Apple M1或更高版本芯片的Mac。,简体中文,4+,免费,"哈佛商业评论
¥138.00


哈佛商业评论一年
¥328.00


哈佛商业评论
¥98.00


包月（视听栏目+往期杂志）
¥38.00


哈评充值88
¥88.00


哈评充值388
¥388.00


2016年1月刊封面文章：高情商组织崛起
¥22.00


管理者晋升手册
¥8.00


2015年第4期（重构绩效管理）
¥22.00


封面标题：客户洞察新思维
¥22.00"
1142110895,抖音,1170416082,"Beijing Microlive Vision Technology Co., Ltd",500,11,0,4.9,"4,625.4万",版本 25.8.0,运用全新的功能，让使用更加安全便捷,"Beijing Microlive Vision Technology Co., Ltd",517.1 MB,娱乐,iPhone设备需装有iOS11.0或更高版本。iPad设备需装有iPadOS11.0或更高版本。iPod touch设备需装有iOS11.0或更高版本。,简体中文， 英文,17+，频繁/强烈的竞赛，偶尔/轻微的卡通或幻想暴力，偶尔/轻微的惊悚或恐怖题材，赌博，偶尔/轻微的亵渎或低俗幽默，偶尔/轻微的色情内容或裸露，偶尔/轻微的成人或性暗示题材,免费,"抖音短视频 7抖币
¥1.00


42抖币
¥6.00


210抖币
¥30.00


抖音抖币包686抖币
¥98.00


抖音DOU+  98元
¥98.00


30抖音DOU+
¥30.00


2086抖币
¥298.00


50抖音DOU+
¥50.00


68抖音DOU+
¥68.00


3626抖币
¥518.00"
549421060,平安金管家-值得信赖的财富生活管家,421991040,中国平安,0,7,0,4.2,4.8万,版本 8.19.00,1、活动模块视觉全新升级，使用更便捷2、一些已知问题的修复与优化,"Ping An Insurance(Group) Company Of China,LTD.",302.1 MB,财务,iPhone设备需装有iOS11.0或更高版本。iPod touch设备需装有iOS11.0或更高版本。,简体中文， 英文,17+，频繁/强烈的竞赛，赌博，频繁/强烈的医药或医疗信息,© 中国平安,免费
1249394701,运动高手秀,1249394700,"Beijing Qingzhou Technology Co., Ltd.",0,6,0,3.6,62,版本 4.1.3,1.新增场馆圈子功能,"Beijing Qingzhou Technology Co., Ltd.",83.2 MB,体育,iPhone设备需装有iOS9.0或更高版本。iPod touch设备需装有iOS9.0或更高版本。Mac需要macOS 11.0或更高版本以及装有Apple M1或更高版本芯片的Mac。,简体中文， 英文,4+,免费,"连续包月高手会员
¥26.00


5个高手币
¥6.00


高手会员1个月
¥30.00


18高手币
¥25.00


高手会员3个月
¥78.00


高手会员12个月
¥248.00


30高手币
¥40.00


高手会员6个月
¥138.00


120高手币
¥138.00"
