appid,recommend
1669666037,"['6447504117', '1535911583', '933128780', '6443965079', '875654777', '1563762019']"
1619262787,"['1590305353', '1567842939', '1527355884', '1485064172', '1640653011', '1534704608']"
1468244744,"['1579457180', '1480655421', '1543650752', '1587116700', '1538547054', '1598043634']"
1243415475,"['1613456390', '1235934988', '1096015822', '1624025901', '1264433561', '987381870', '1141871354', '1452864064']"
1207701288,"['1266136303', '1562927731', '1465074128', '1438381485', '1485843462', '1423061888']"
1032287195,"['1454093306', '1298912284', '1475216610', '1363039920', '1472343551', '1138670825']"
956077224,"['391076447', '451084152', '1603759547', '557509598', '593394038', '453405026', '1060011393', '506081667', '980020943']"
1142110895,"['1477031443', '1086047750', '1605585211', '1435602536', '1579006693', '1375378796', '801599025', '942443472', '910513149', '642091851', '1393912676']"
549421060,"['1085016815', '1159233677', '745097904', '1254368913', '1439399498', '1547927502', '921841935']"
1249394701,"['1064012897', '1182853814', '994796154', '994799102', '1098102973', '1014448385']"
571195405,"['961509964', '1446691862', '1097784061', '1490825728', '1564871344', '1670264264', '1501844113', '1389718795', '931168730', '1066224046', '1435564901', '1125256785']"
1572970510,"['1572970303', '990500428', '1071516426', '1243387705', '997586276', '1460554848', '1395725438']"
1632878609,"['1608827634', '1622001210', '6443915491', '1587113747', '1525684187', '1630727969']"
1027334165,"['1476060179', '912314876', '1572970303', '607555553', '1536376160', '578186621', '435921465']"
1121886234,"['415872960', '1226409755', '1002337236', '1181893036', '1002337256', '1457803066', '1056580456', '415854096', '974428942', '1245488989', '1152954857', '487967179']"
1405386796,"['1578889450', '1622788281', '1147598150', '1500212730', '1454795329', '1578413253']"
1361477682,"['1356384026', '1363457176', '1361881265', '1369503898', '1361477686', '1352779518', '580097761', '1274506526', '530096786', '466351433', '1110653667', '848926994']"
796352563,"['1076606537', '1156604932', '578306109', '932189198', '1154505948', '921565964', '547274918', '1042246861', '1583923782', '1582979870', '779363176', '1519508653']"
1361477686,"['1356384026', '1363457176', '1361881265', '1369503898', '1361477682', '1352779518', '848926994', '1472956243', '505814579', '466351433', '580097761', '530096786']"
1026768962,"['1248263064', '1319750087', '1406776347', '1421608068', '691070583', '1527533001', '1473097341']"
447733826,"['672111230', '1159275776', '1558997453', '1225149443', '794862904', '584398176', '1600631497', '557825942', '628244112', '523091708']"
590217303,"['387682726', '451400917', '1245063594', '1576843916', '1536390176', '1533615144', '904548797', '1525669673', '1512943167', '1508097648', '672662544', '708064914']"
855031900,"['1616484963', '1337474440', '1384369805', '6446127047', '6446849337', '1498018958']"
1444380764,"['897076369', '1517550837', '1446199348', '1474201266', '1461740993', '1213366120']"
1353326686,"['1215644262', '1595765605', '1476811366', '1353326369', '1476813066', '1506723994', '1357215444', '1397406775', '1470936215', '1552134957', '1356504527', '1312014438']"
881803365,"['1508718118', '1481323968', '1596881929', '1614215171', '1364313957', '1548652327', '1386015549', '1095523835', '1461064823', '1586116399']"
1615208550,"['1560925902', '1539328731', '1672912859', '1578648890', '1354436050', '6444203409', '6448866092', '519734057']"
1312014438,"['1031088612', '1527036273', '1039643846', '1445874902', '1501532023', '1514942957', '896694807', '1512938504', '1447750768']"
987381870,"['1273698225', '1401783711', '507967709', '793040736', '1452864064', '1241204798']"
1620295792,"['717619906', '1385368401', '1590997618', '1528942537', '917064289', '994796154']"
1012949110,"['1277470512', '1308961915', '1575077708', '6443916065', '1638874821', '6446141903', '1544429501']"
1319788668,"['1440256574', '1584984757', '1642306791', '1450920208', '1395152179', '1437215395', '1452958918', '1032660607', '1613506145']"
320479357,"['515199321', '726910407', '1471074237', '1518559715', '1512106369', '1485188921', '1197127152', '431620005', '498818574', '903408156', '465617429', '437741433']"
961159303,"['992334854', '727578007', '984804729', '915228998', '1097708692', '1100539967']"
1603870869,"['1560559465', '1556991580', '1460457646', '1598098399', '1552314716', '1594145104', '1594322263', '1558876298', '1591602766']"
1483899033,"['1522241329', '578064020', '1527690831', '526625728', '1584504085', '6443900857']"
1387094171,"['1363740732', '1387389046', '1372077131', '1418831338', '1421593866', '1410647223', '1442054681', '1072606742', '1443975134', '468348999', '542912791', '1580572430']"
370139302,"['444934666', '458318329', '414603431', '389481236', '1087897068', '439638720', '548608066', '1271984698', '6446798939', '6444102125', '1618902985', '1641737234']"
1113153706,"['586447913', '586683407', '586449534', '951937596', '1288723196', '410395246', '320659794', '568421135', '890656632', '525890839', '363501921', '404249815']"
919503025,"['444934666', '458318329', '414603431', '370139302', '389481236', '1087897068', '1042198954', '1324408585', '1551926237', '1282936493', '475666808', '1438499909']"
1054941362,"['1225208581', '942293983', '998809811', '1299418057', '1612609960', '997671966', '1492244351']"
1643479223,"['1669627101', '1575164705', '1529087124', '1631469523', '1562956070', '1641249558']"
1542742219,"['1158929797', '1125320042', '1507144524', '1363846787', '404516121', '1137406490']"
1625047243,"['1643481582', '1556153205', '1023659376', '1239783538', '1199345588', '1526435100', '1522839039']"
1585463501,"['1205865478', '1487895027', '1228995359', '1077248962', '1584780245', '1454916805']"
1489944782,"['1480383173', '1534126062', '1661308505', '1553863458', '1476047194', '1642969698', '1446163218', '1048919906', '1601100965', '1216751824', '430133691', '1469601691']"
1640653011,"['1538946171', '1595736086', '1618401777', '1527355884', '1580284904', '1535310330', '1534704608']"
1356054761,"['1458449156', '1561723212', '1623726324', '1564044615', '1497668952', '1596297793', '1590106894', '1591574287', '1587659179', '1047062776', '1530781911', '1552314395']"
1338769645,"['1556830588', '1521238284', '6448435664', '1478728677', '1568117297', '1630711420', '1228112060', '1538392732', '1482510249']"
1019060468,"['1463497415', '1327189976', '1574630742', '1574599139', '1007030042', '927759827', '1266274560', '1473216170', '656170799', '1267285916']"
1659609336,"['1589828907', '1473234664', '1659594375', '1634395637', '1659783628', '1659612469', '1576830673', '1570789972', '1548501453', '1538256717', '6450640755', '841823903']"
1338646799,"['1440021793', '1184826289', '1298971687', '1251781928', '1179268800', '1294156707', '1539327087', '1491605789', '1470382906', '1454609722', '1639507649', '1203542281']"
