appid,name,developer_id,developer_name,rate,rate_num,supplier,size,genre,compatibility,language,age,copyright,price
1546420986,钢琴键盘练习—钢琴键盘练琴,1444995807,ZHANG HONGKUN,4.8,"1,207",ZHANG HONGKUN,468.3 MB,音乐,iPhone设备需装有iOS10.0或更高版本。iPad设备需装有iPadOS10.0或更高版本。iPod touch设备需装有iOS10.0或更高版本。Mac需要macOS 11.0或更高版本以及装有Apple M1或更高版本芯片的Mac。,简体中文， 繁体中文， 英文,4+,©GameLord 3D.,免费
400169658,Friendly Social Browser,1670227485,"Friendly, Inc.",4.7,446,"Friendly, Inc.",45.6 MB,社交,iPhone设备需装有iOS14.0或更高版本。iPad设备需装有iPadOS14.0或更高版本。iPod touch设备需装有iOS14.0或更高版本。Mac需要macOS 11.0或更高版本以及装有Apple M1或更高版本芯片的Mac。,俄文， 匈牙利文， 土耳其文， 德文， 意大利文， 捷克文， 法文， 繁体中文， 英文， 荷兰文， 葡萄牙文， 西班牙文,17+，无限制网页访问,免费,"Friendly Plus
¥15.00


Nice tip
¥8.00


Amazing tip
¥58.00


Generous tip
¥38.00"
1478095132,魔镜慧眼,927341510,"Chengdu Inphase Technology Development Co., Ltd.",2.6,623,"Chengdu Inphase Technology Development Co., Ltd.",191.8 MB,工具,iPhone设备需装有iOS9.0或更高版本。iPod touch设备需装有iOS9.0或更高版本。Mac需要macOS 11.0或更高版本以及装有Apple M1或更高版本芯片的Mac。,简体中文， 英文,4+,© 2019 Inphase Inc,免费
1445394486,中行企业银行,392493980,中国银行股份有限公司,3.0,"1,401",Bank of China Limited,157.7 MB,财务,iPhone设备需装有iOS9.0或更高版本。iPod touch设备需装有iOS9.0或更高版本。,简体中文,4+,© BANK OF CHINA(BOC),免费
1078816866,E融汇,392493980,中国银行股份有限公司,3.1,169,Bank of China Limited,75.5 MB,财务,iPhone设备需装有iOS9.0或更高版本。iPod touch设备需装有iOS9.0或更高版本。,简体中文,17+，频繁/强烈的竞赛，赌博,© BANK Of China,免费
422689480,Gmail - Google 推出的电子邮件服务,281956209,Google LLC,4.6,1.1万,Google LLC,474 MB,效率,iPhone设备需装有iOS14.0或更高版本。iPad设备需装有iPadOS14.0或更高版本。iPod touch设备需装有iOS14.0或更高版本。,丹麦文， 乌克兰文， 乌尔都文， 俄文， 保加利亚文， 克罗地亚文， 冰岛文， 加利西亚文， 加泰罗尼亚文， 匈牙利文， 南非荷兰文， 博克马尔文挪威文， 卡纳达文， 印地文， 印度尼西亚文， 古吉拉特文， 土耳其文， 塞尔维亚文， 孟加拉文， 巴斯克文， 希伯来文， 希腊文， 德文， 意大利文， 拉脱维亚文， 捷克文， 斯洛伐克文， 斯洛文尼亚文， 斯瓦希里文， 日文， 法文， 波兰文， 波斯文， 泰卢固文， 泰文， 泰米尔文， 爱沙尼亚文， 瑞典文， 祖鲁文， 立陶宛文， 简体中文， 繁体中文， 罗马尼亚文， 芬兰文， 英文， 荷兰文， 菲律宾文， 葡萄牙文， 西班牙文， 越南文， 阿拉伯文， 韩文， 马拉地文， 马拉雅拉姆文， 马来文,4+,免费,"每月 100 GB
¥13.00


每月 100 GB
¥13.00


每月 200 GB
¥20.00


每年 100 GB
¥133.00


每年 100 GB
¥133.00


每月 2 TB
¥68.00


每月 200 GB
¥20.00


每月 100 GB
¥13.00


每月 100 GB
¥13.00


每年 200 GB
¥198.00"
1590302171,阿里邮箱,511837736,Alibaba Cloud Computing Ltd.,3.0,69,Alibaba Cloud Computing Ltd.,24.1 MB,效率,iPhone设备需装有iOS12.4或更高版本。iPad设备需装有iPadOS12.4或更高版本。iPod touch设备需装有iOS12.4或更高版本。Mac设备需装有macOS11.0或更高版本。,简体中文， 繁体中文， 英文， 葡萄牙文,17+，无限制网页访问,"© 2022 ALIBABA (CHINA) CO., LTD",免费
1641249558,租易猫 - 游戏装备租号玩家分享平台,1637045167,阳 苟,3.5,"1,149",阳 苟,48.8 MB,工具,iPhone设备需装有iOS9.0或更高版本。iPod touch设备需装有iOS9.0或更高版本。Mac需要macOS 11.0或更高版本以及装有Apple M1或更高版本芯片的Mac。,简体中文， 英文,17+，偶尔/轻微的卡通或幻想暴力,© 租易猫,免费
1166119636,Aquela Máquina,428569026,Cofina Media,-1,0,"Cofina Media, SGPS, S.A.",14.7 MB,新闻,iPhone设备需装有iOS9.0或更高版本。iPod touch设备需装有iOS9.0或更高版本。Mac需要macOS 11.0或更高版本以及装有Apple M1或更高版本芯片的Mac。,英文,4+,© Cofina Media SA,免费
956890526,国家兽药综合查询,956890525,developer seuic,3.1,138,developer seuic,4.9 MB,参考资料,iPhone设备需装有iOS9.0或更高版本。iPod touch设备需装有iOS9.0或更高版本。Mac需要macOS 11.0或更高版本以及装有Apple M1或更高版本芯片的Mac。,简体中文,4+,© 中国兽医药品监察所,免费
1491295404,昆仑润滑,1192656426,PetroChina Company Limited,-1,0,PetroChina Company Limited,50.7 MB,商务,iPhone设备需装有iOS8.0或更高版本。iPod touch设备需装有iOS8.0或更高版本。Mac需要macOS 11.0或更高版本以及装有Apple M1或更高版本芯片的Mac。,英文,4+,© 中国石油,免费
1585790605,秒速书签,1436287340,东莞每日文化传播,-1,0,"Dongguan Daily Culture Communication Co., Ltd.",9 MB,工具,iPhone设备需装有iOS11.0或更高版本。iPod touch设备需装有iOS11.0或更高版本。Mac需要macOS 11.0或更高版本以及装有Apple M1或更高版本芯片的Mac。,英文,17+,© 广东每日信息科技有限公司,免费
458318329,腾讯视频-玉骨遥全网独播,292374531,Tencent Technology (Shenzhen) Company Limited,4.7,"2,157.3万",Tencent Technology (Shenzhen) Company Limited,502.1 MB,娱乐,iPhone设备需装有iOS11.0或更高版本。iPad设备需装有iPadOS11.0或更高版本。iPod touch设备需装有iOS11.0或更高版本。,简体中文,17+，偶尔/轻微的亵渎或低俗幽默，无限制网页访问，偶尔/轻微的现实暴力，频繁/强烈的成人或性暗示题材，偶尔/轻微的色情内容或裸露，偶尔/轻微的模拟赌博，偶尔/轻微的惊悚或恐怖题材,免费,"连续包月会员
¥25.00


连续包月会员
¥25.00


该付费商品
¥3.00


腾讯视频VIP连续包月
¥25.00


腾讯视频VIP连续包月
¥25.00


连续包月
¥25.00


连续包月会员
¥25.00


腾讯视频VIP连续包月
¥25.00


腾讯视频VIP连续包月
¥25.00


内容购买
¥6.00"
1602796202,滴墨AI - AI生成绘画 · AI社区,1063716478,"Shenzhen Yingke Technology Co., Ltd.",4.3,"1,333","Shenzhen Yingke Technology Co., Ltd.",103.4 MB,社交,iPhone设备需装有iOS14.0或更高版本。iPad设备需装有iPadOS14.0或更高版本。iPod touch设备需装有iOS14.0或更高版本。Mac需要macOS 11.0或更高版本以及装有Apple M1或更高版本芯片的Mac。,简体中文， 繁体中文， 英文,17+，偶尔/轻微的亵渎或低俗幽默，偶尔/轻微的色情内容或裸露，偶尔/轻微的现实暴力，偶尔/轻微的烟酒或毒品使用或相关内容，无限制网页访问，偶尔/轻微的竞赛，偶尔/轻微的惊悚或恐怖题材，偶尔/轻微的成人或性暗示题材，偶尔/轻微的卡通或幻想暴力，偶尔/轻微的医药或医疗信息,免费,"56 Do币
¥8.00


连续包月会员
¥34.00


96 Do币
¥15.00


月会员
¥36.00


260 Do币
¥38.00


连续包季会员
¥98.00


进阶会员 - 月付
¥94.00


880 Do币
¥128.00


476 Do币
¥68.00


连续包年会员
¥338.00"
685777413,PU口袋校园,1036042342,"Suzhou Tiangong Digital Technology Co., Ltd.",1.4,1.6万,"Suzhou Tiangong Digital Technology Co., Ltd.",213.3 MB,社交,iPhone设备需装有iOS13.0或更高版本。iPod touch设备需装有iOS13.0或更高版本。Mac需要macOS 11.0或更高版本以及装有Apple M1或更高版本芯片的Mac。,,17+，偶尔/轻微的亵渎或低俗幽默，赌博，频繁/强烈的竞赛，偶尔/轻微的惊悚或恐怖题材，偶尔/轻微的成人或性暗示题材,© 2016 pocketuni.net,免费
1590106894,录音机-专业手机录音转文字助手,1590107106,"Shenzhen Meituan Youxuan Technology Co., Ltd.",2.0,17,"Shenzhen Meituan Youxuan Technology Co., Ltd.",64.8 MB,效率,iPhone设备需装有iOS10.0或更高版本。iPad设备需装有iPadOS10.0或更高版本。iPod touch设备需装有iOS10.0或更高版本。Mac需要macOS 11.0或更高版本以及装有Apple M1或更高版本芯片的Mac。,英文,4+,免费,"智能录音转文字语音备忘录年会员
¥298.00


智能录音转文字语音备忘录月会员
¥35.00"
1522640110,天气预报极速版-15日天气精准预报,1577071010,燕荣 吴,4.7,1.5万,燕荣 吴,173.6 MB,工具,iPhone设备需装有iOS10.0或更高版本。iPad设备需装有iPadOS10.0或更高版本。iPod touch设备需装有iOS10.0或更高版本。Mac需要macOS 11.0或更高版本以及装有Apple M1或更高版本芯片的Mac。,简体中文， 繁体中文， 英文,4+,© 天气预报,免费
1497926855,Bind-我就在你身边,1528662016,Shanghai Liangma Network Technology Company Limited,4.5,3.4万,Shanghai Liangma Network Technology Company Limited,275.3 MB,社交,iPhone设备需装有iOS11.0或更高版本。iPad设备需装有iPadOS11.0或更高版本。iPod touch设备需装有iOS11.0或更高版本。Mac需要macOS 11.0或更高版本以及装有Apple M1或更高版本芯片的Mac。,简体中文,17+，偶尔/轻微的卡通或幻想暴力，偶尔/轻微的烟酒或毒品使用或相关内容，无限制网页访问，偶尔/轻微的成人或性暗示题材,© 2023 LM Tech,免费双人会员连续包周，¥28.00，，，双人会员连续包年，¥168.00，，，双人会员连续包月，¥68.00，，，双人永久会员，¥198.00，，，月度会员，¥22.00，，，双人免广告1个月，¥8.00，，，300分钟，¥8.00，，，双人全年免广告，¥15.00，，，300分钟语音包/6元，¥8.00，，，720分钟，¥15.00
1128665048,快传 for QQ-跨设备信息传输 无需登录 永久免费!,1023654480,月明 沈,2.8,6,月明 沈,5.6 MB,工具,iPhone设备需装有iOS6.1或更高版本。iPad设备需装有iPadOS6.1或更高版本。iPod touch设备需装有iOS6.1或更高版本。Mac需要macOS 11.0或更高版本以及装有Apple M1或更高版本芯片的Mac。,英文,4+,© pubinfo,免费
1095229897,黑白块—全民天天随音乐节奏别点白块儿,1094636976,LI SAIHUA,4.4,5.3万,LI SAIHUA,281.1 MB,音乐,iPhone设备需装有iOS10.0或更高版本。iPad设备需装有iPadOS10.0或更高版本。iPod touch设备需装有iOS10.0或更高版本。Mac需要macOS 11.0或更高版本以及装有Apple M1或更高版本芯片的Mac。,简体中文， 繁体中文， 英文,4+,© HuaHua Game,免费
1073082439,我的极光预报 - 极光提醒·北极光,549019599,JRustonApps B.V.,4.9,"1,711",JRustonApps B.V.,87.3 MB,天气,iPhone设备需装有iOS14.0或更高版本。iPad设备需装有iPadOS14.0或更高版本。iPod touch设备需装有iOS14.0或更高版本。,俄文， 博克马尔文挪威文， 德文， 意大利文， 法文， 瑞典文， 简体中文， 芬兰文， 英文， 荷兰文， 西班牙文， 韩文,4+,© 2023 jRustonApps B.V.,免费
1589730426,J.CO,1589730428,PT. JCO DONUT & COFFEE,-1,0,PT. JCO DONUT & COFFEE,36.9 MB,美食佳饮,iPhone设备需装有iOS14.0或更高版本。iPod touch设备需装有iOS14.0或更高版本。Mac需要macOS 11.0或更高版本以及装有Apple M1或更高版本芯片的Mac。,印度尼西亚文， 英文,4+,© PT. JCO Donut & Coffee,免费
6444003502,木头师傅-木材计算器新版材积计算器,1684412025,靖 李,4.7,"2,468",靖 李,92.7 MB,生活,iPhone设备需装有iOS9.0或更高版本。iPod touch设备需装有iOS9.0或更高版本。Mac需要macOS 11.0或更高版本以及装有Apple M1或更高版本芯片的Mac。,英文,4+,© @MuCaiJiSuanQi,免费
1658237658,GPS海拔高度,1549454215,"Beidou Hanglu Technology Co.,Ltd.",4.5,2,"Beidou Hanglu Technology Co.,Ltd.",40.1 MB,旅游,iPhone设备需装有iOS12.1或更高版本。iPad设备需装有iPadOS12.1或更高版本。iPod touch设备需装有iOS12.1或更高版本。Mac需要macOS 11.0或更高版本以及装有Apple M1或更高版本芯片的Mac。,英文,4+,免费,"GPS海拔高度测量仪月卡会员
¥22.00"
1661080398,变声器-游戏开黑聊天实时变声专业工具,1653734290,梅 谯,4.0,4,梅 谯,70.8 MB,工具,iPhone设备需装有iOS10.0或更高版本。iPad设备需装有iPadOS10.0或更高版本。iPod touch设备需装有iOS10.0或更高版本。Mac需要macOS 11.0或更高版本以及装有Apple M1或更高版本芯片的Mac。,英文,4+,免费,"游戏开黑聊天语音变声器年会员
¥198.00


游戏开黑聊天语音变声器月会员
¥18.00"
546644351,IROKOtv,546644354,iROKO Partners Ltd,4.5,122,iROKO Partners Ltd,105.8 MB,娱乐,iPhone设备需装有iOS11.0或更高版本。iPad设备需装有iPadOS11.0或更高版本。iPod touch设备需装有iOS11.0或更高版本。Mac需要macOS 11.0或更高版本以及装有Apple M1或更高版本芯片的Mac。Apple TV设备需装有Apple tvOS10.0或更高版本。,法文， 英文,12+，偶尔/轻微的现实暴力，偶尔/轻微的烟酒或毒品使用或相关内容，偶尔/轻微的卡通或幻想暴力，偶尔/轻微的模拟赌博，偶尔/轻微的亵渎或低俗幽默，偶尔/轻微的色情内容或裸露，偶尔/轻微的惊悚或恐怖题材，偶尔/轻微的成人或性暗示题材,© iROKOtv,免费
1456691976,深圳通(官方版),1445513948,深圳市深圳通有限公司,2.5,"1,208","Shen Zhen Shenzhentong Co.,Ltd.",260.2 MB,生活,iPhone设备需装有iOS11.0或更高版本。iPod touch设备需装有iOS11.0或更高版本。Mac需要macOS 11.0或更高版本以及装有Apple M1或更高版本芯片的Mac。,简体中文,4+,© 深圳市深圳通有限公司,免费
