appid,title,content
1627067977,保护,好评不解释
1627067977,非常感谢,感谢都是免费的
1627067977,哈哈哈,保护
1627067977,非常日系的计时器,丰富的dlc大大提升了可玩性
1627067977,有点不太好用,比较不太智能，但是方便简洁（doge)
1627067977,吆西吆西,保护
1627067977,让我很健康,我已经变得异常健康了
1627067977,好用的软件,很好用也不收费
1623199893,下载影视详细方法,先下载钱包app然后在我的中心-反馈意见-输入网址弹窗口令。会提示你让你重启app，然后重启下app就好了，图标还是钱包，但是内容变为影视app了
1615731935,撤退！有广告,快撤退！广告很多
1615731935,，,看不了视频啊！
1615731935,需要改进,不能获取验证码，什么鬼啊，还不能投屏，一直反应不上
1642889087,观看集数与进度不能保存,观看集数与进度不能保存，也不能清理缓存
1642889087,一直闪退是啥情况,一开始还好好的 用了一天不到就闪退。打开软件过几秒就退出去了 呜呜🥹
1642889087,广告太多,卸载
1642889087,9.22开始不能投屏,9.21还可以使用投屏，9.22开始就不能投屏了。ios15.5。
1642889087,mm,更新后无功能
1642889087,为什么不能跳转到视频页面,点进去后不是看视频的什么情况啊？我的问题还是软件问题？
1642889087,打开跳转不了,还是软件的界面
1642889087,要怎么使用啊？,打开一直是社区互动界面
1642889087,苹果11更新后怎么用不了，还是一个什么物业,更新后不能跳转到电视界面
1642889087,不能保存播放进度,不能保存播放进度
1628524044,看不了,看不了
1628524044,😈,我婆婆哦去外婆声音搜嘎颜色是我呸咋啦基恩i9配以弟弟哦可怜颜色咯哥啊布维记
1628524044,差,广告太多了
1628524044,真的卡,好卡啊
1628524044,哈哈,不错不错
1628524044,使用,我点了右上角➕  然后输入怎么用啊  清后台再进就可以了
1628524044,假的,别上当了
6444063802,1,怎么进去哟？
6444063802,保护,很流畅
6444063802,1,666
6444063802,安定,大师
6444063802,很好用,不错的一款，随时随地看片，没有广告
6444063802,很好,天天想你
6444063802,垃圾,根本没法看
6444063802,假的引流的，被抖音骗过来,退出重新进，根本没用
1659647017,好,好
1659647017,可以,tk999
1659647017,&#$@,tk999
1659647017,变身？,TK999
1659647017,低分保护,保护
1659647017,一群啥不会的在这瞎耍,亲测可用，亲测好用
1659647017,有些毛病，总体可以,有时候用着用着就显示网络错误，刷新或者退出后台再进也不行，中间什么威尼…倒计时不只七秒，直接盖着之后所有的画面了，退出威尼也显示网络错误
1659647017,没用,没用
1659647017,tk999,tk999
1659647017,软件很好用,5分好评
1659647017,真的很差劲,不会做就别做了，播放都播放不了
1659647017,剩下的岁月因为有您而美好,很好的年龄计算软件，感谢制作组与最牛的程序猿大侠。不给五星是怕您骄傲，但更怕那些嫉妒您的人背后插刀，哪有什么岁月静好，只因有您负重前行。
1659647017,意见反馈，tk999。,之后退出后台重进应用就可以了，目前用着没广告。也可以弹幕啥的，挺好
1659647017,Tk999，慢点打，打完退出删后台重进,duwbqkfo
1659647017,dddd,lj
1659647017,兄弟们可以变   tk999,tk999
1659647017,用不了，坑人的，别下载了,假的，别下载了
1659647017,棒,低分保护
1659647017,是tk999,tk999
1659647017,假的,骗子集团
1659647017,很好,又涨知识
1659647017,好用变身成功,可以，tk999
1659647017,恢复了,tk恢复了
1659647017,哭了,哼
1659647017,是Tk999,Tk999
1659647017,不能变身,tk999不能变身了
1659647017,密码是啥,密码是啥
1659647017,变身不了,tk999根本不能变身啊
1659647017,变不了,你这有问题啊
1659647017,口令是什么,求口令
1659647017,害,今天是周六啥都用不了
1659647017,变,变身不了kt999？
1659647017,bu. hao yong le,bu hao yong le zen me ban？
1659647017,没用,都举报一波
1659647017,好用！,tk999
1659647017,6,好
1659647017,tk999也用不了软件无了,无了
1659647017,tk111,tk111
1659647017,额，懂得都懂,一二三四五六七，七六五四三二一，叉出去叉出去，
1659647017,12.22凌晨4点可以了用的三个九,都试试
1659647017,保护,保护
1659647017,很好,密码tk999
1659647017,好用,懂得都懂
1659647017,tk111不能变身,密码
1659647017,12/19日最新密码,tk999
1659647017,无法变,"12.19号,使用tk999还是变不了"
1659647017,0,tk111 不用谢
1659647017,最新密钥,tk111
1659647017,好用的观影,必须好评！
1659647017,这是个假的伪装app举报下架！,这是个假的伪装app举报下架！
1659647017,这啥呀这是,啥都不是
1659647017,这是观影的嘛,有人知道密码是啥嘛
6444918464,低分保护,低分保护
6444478805,只能苹果下载吗,只能苹果下载吗
6444478805,最近发现app出现的一些问题,你好 最近在使用app时一直长按倍速看的时候会突然画面卡顿然后只有声音 往后拉往前拉一直在显示加载然后就不动了没办法就把后台关了重新开但是重开之后点视频看加载又需要很长时间 希望可以把这个问题修复一下谢谢🙏……
6444478805,一般吧哈哈哈哈希望继续改进iPad版本,加油加油
6444478805,iPad不能横屏用这是最大的缺点,iPad不能横屏用这是最大的缺点
6444478805,为什么要用微信来扫码？,如果扫码之后存在安全隐患  就别怪我了
6444478805,不能用了,不能用了，怎么办
6444478805,提示未知错误,提示未知错误
6444478805,门卫真的很方便,进出神器
6444478805,收藏功能怎么用啊,点了收藏也没用，没有收藏夹
6444478805,请问如何进入看视频,如何进入看视频
6444478805,差评,进不去了。还闪屏
6444478805,为啥输入用户名和密码的时候进不去啊 ，输入好几次都是未知错误。,不知道怎么输入啊
6444478805,1,输入密码显示未知错误   垃圾
6444478805,显示未知错误,为什么登陆账号密码那里一直显示未知错误
6444478805,为什么不能投屏呢,很好
6444478805,保,低分保护
6444478805,低分保护,低分保护
6444478805,刘海遮挡啊……,怎么没人说全屏的时候一大条刘海遮挡住屏幕内容……你们都没有这个问题么🙄️
6444478805,随便输入密码 登录不了,登录不了啊随便输入密码
6444478805,下载输入密码不能用,提示未知错误，为什么呢
6444478805,为何要微信扫码？扫码之后如何注销？,同问，为何需要微信扫码？而且甚至没有授权环节，直接就扫成功了，是否存在安全隐患，二维码包含什么程序？而且之后扫成功了还没法注销
6444478805,真厉害！,牛啊
6444478805,非常好 建议增加投屏,赞
6444478805,未知错误,进不去了
6444478805,6,播放源不稳定
6444478805,播放失败,好多电视剧看着看着就不能看了，播放失败
6444478805,未知错误,怎么弄？一星保护！谁告诉我一下v959905157
6444478805,登陆不了,希望修改一下
6444478805,打不开软件,下载了，二维码扫不了，软件打不开
6444478805,🐮,一切尽在不言中
6444478805,跪求投t屏p,希望可以tp
6444478805,天呐绝美的追剧软件,真的好用！没想到蓝光画质，加载特别快！爱了爱了，开发者加油啊！🤩🤩🤩🤩
6444478805,方便管理,好用 很流畅 继续保持！
6444478805,进不去,进不去
6444478805,视频跳时间,总体来说还是不错的  就是有的视频会往后跳个几秒 很影响观感  望改进
6444478805,很好，我们这条街的业主都用它,赞
6444478805,希望增加投屏功能,投屏功能很需要，谢谢
6444478805,物业,很好的物业平台！！！
6444478805,账号密码是什么呀？,为什么怎么输入都进不去
6444478805,太方便业主了,网络保修方便多了，以前还得打电话保修电梯，赞一个。
6444478805,显示成功但是没反应了,怎么破
6444478805,我想问一下点了小心心是进收藏了吗，收藏夹在哪呀？,没有的话，能加一个进去吗！！emmm还有，不知道为什么会经常掉，然后有时候扫不进去……
6444478805,非常好用，感谢开发者！,方便快捷
6444478805,赞👍,赞
6444478805,不错,非常不错
6444478805,闪退,老闪退怎么回事
6444478805,登陆,登录不上
6444478805,bug,进一次就黑屏了，显示未知错误，卸载重下也进不去
6444478805,扫码问题,你们说微信扫码不安全？读取你的微信信息了吗，扫上去就显示开门成功，怕就别用？求你用？给你们免费没有广告还在那叭叭这不安全那不安全
6444478805,为什么进不去？输入账号密码未知错误,为什么进不去？输入账号密码未知错误
6444478805,1,下载不了视频
6444478805,用了两天 显示门打开了但是进不去啊,。zzz
6444478805,好东西支持,想问一下我的手机一直开门不成功是怎么回事呢？一直刷新二维码也不可以用
6444478805,关于下载功能的期望,软件整体还是非常不错的，希望能尽早推出下载功能
6444478805,这个物业软件可不可以开发一下投屏功能啊啊,确实很好用
6444478805,一星保护,一星保护一星保护一星保护一星保护一星保护一星保护一星保护一星保护一星保护一星保护一星保护一星保护一星保护一星保护一星保护一星保护
6444478805,真的不错啊方便快捷,真的不错啊方便快捷
6444478805,提示未知错误,怎么登不进去呀
6444478805,为什么登不进去,登不进去啊
6444478805,收藏的影视剧没有专门的选项？,收藏了跟没收藏一样
6444478805,垃圾垃圾,低分保护
6444478805,物业平台相当好！,给个好评
6444478805,希望加入投屏功能,挺好用，除了不能投屏
6444478805,视频会往后跳一段,怎么解决视频跳时间的问题呢
6444478805,投不了屏,.
6444478805,可疑二维码,垃圾软件 进来就让扫码 小心杯陷阱
6444478805,🐔,低分保护
6444478805,ipad扫不了码,其实多转几次屏幕就好了，动动脑子嘛
6444478805,超级好用谢谢,特别好用也不卡
6444478805,能长久就准备会员,可以赞助一波
6444478805,真的很好用,回家方便多了！感谢开发人员
6444478805,🌞🌞,很棒哦
6444478805,非常给力的物业平台,一百分
6444478805,方便业主,方便你我他
6444478805,无法投屏,为什么苹果手机没有投屏TV按钮
6444478805,好评,超喜欢
6444478805,iPad使用不了,iPad还是使用不了
6444478805,进出小区越来越方便啦,很好的物业软件，进出小区很方便。用iPad的邻居可以旋转切换竖屏，这样就有完整的二维码啦👍
6444478805,使用反馈,软件是我用众多app里最好一个 首先无广告目前。打开速度很快 资源多 多种画质 播放渠道。唯一一点不能下载有时候要出门 有点麻烦 五星好评
6444478805,好用,比安卓进入速度快多了。非常好用。也很喜欢
6444478805,好,666
6444478805,闪退,闪退是什么情况 软件还是不错的就是不能投屏
6444478805,babababnini,暗号是啥
6444478805,超好用的,啥啥都好
6444478805,软件很好,很好用，无广告，资源齐
6444478805,希望一直这么好用,加油
6444478805,双兔傍地走，安能辨我是雄雌,期待完善功能
6444478805,蜂窝网络下无法打开,软件在wifi连接时为神器，在蜂窝网络下无法连接
6444478805,白屏,打开白屏，啥也没有
6444478805,？？,打不开，白屏
6444478805,为什么要微信扫码呢？有没有什么安全问题，希望作者能解释一下,。
6444478805,移动运营商的网络无法使用,移动宽带wifi白屏
6444478805,服务,很好的app
6444478805,好用,可以更新小窗播放功能吗
6444478805,iPad不能用？打开白屏什么都没有。？怎么弄,求
6444478805,差评,歧视ipad？你要么二维码可以保存要么那个图片能够适应屏幕大小行吗？无语大发了。
6444478805,好,好
6444478805,iPad Pro 不适配,没有原来“盘子”适配的好，二维码太大显示不全，只能截图后再拼到一起。
6444478805,别下了,登不进去的
6444478805,图片长按保存或者缩放,能将图片保存吗？ipad的显示不完全，无法截图
6444478805,抖音骗来的,垃圾软件别下
6444478805,二维码扫不了,二维码太大啦，可以搞个小框给他框出来，我这个平板点开之后一个页面根本放不了一个完整的二维码。
6444478805,目前挂了.中午12点到半夜12点还没恢复.只有早上刚下完时进去过一次,如题
6444478805,非常好用的小区管理工具,无广告，响应速度快
6444478805,冲,冲冲冲
6444478805,二维码,根本扫不了二维码，二维码显示不全，很无语
6444478805,业主反映意见如下,方便了我们住户的日常生活简化了钥匙牌子，有时候开门开不了要多点几下，业主的福音
6444478805,开门 成功之后呢,。。。
6444478805,保一分！,👌🏻
6444478805,就差0.0001% 你将达到巅峰,一个小bug，iPad二维码太大了，截图不完整，扫不了
6444478805,可以做横屏吗,方便了物业管理，快捷
6444478805,非常好👍,用了这个物业平台，麻烦事少了，每天生活都很方便👍👍
6444478805,iPad 界面,iPad 界面二维码不能全部显示，无法扫描二维码，麻烦适配一下，谢谢
6444478805,能否加入投屏功能,如题，投屏且带控制界面的那种，有的话堪称完美app
6444478805,不能投屏啊,不能投屏啊！
6444478805,111,可以做iPad适配吗
6444478805,是真的强,强啊霸哥！
6444478805,很可以,可以
6444478805,iPad用不了,iPad用不了显示服务异常
6444478805,用不了了,昨天还能用，现在提示升级，不升级没有网络，手机版本ios11，你弄的最低12，我装不了咋办，用着最好的软件现在不能用了！！！！
6444478805,那里哦具体,穿马甲的软件
6444478805,ipad,为什么2021 ipad pro打开白屏
6444478805,ipad用不了,扫不出来二维码
6444478805,根本没法用,没法用怎么办，你告诉我
6444478805,无法登陆,登录不进去
6444478805,.,第一个，
6444478805,爱死了,简直是我的心头爱是我的神！！！yyds!!!!
6444478805,L K S P无敌哈哈哈,lksp
6444478805,非常好用！,特来支持！
6444478805,打开白屏啊。,登不进
6444478805,先来一波好评,app很好用，虽然等了这么久，终于可以使用了，厉害了，赞赞赞
1622952105,hfg,低分保护
1643675280,听说新版本 来试试,听说新版本 来试试
1643675280,为什么用不了呢,不会用
1643675280,非常nice,很喜欢用这个软件 希望越做越好
1643675280,很棒的软件,好评
1643675280,诈骗软件,诈骗软件。作者你全家火葬场安排
1643675280,骗人的，诱导人家下载,诱导人说这是看电影的。什么玩意？缺心眼缺到这个程度？
1643675280,下载就能看,ipad也能看
1643675280,Lj     不能投 屏,不！好！用！
1643675280,不支持影视,设备14promax 重启了无数遍
1621682678,为什么突然看不了了？有人可以解答一下么,本来之前还好好的
1533237016,不能投屏,广告很烦人，不能投屏
1645236455,垃圾,垃圾中的垃圾
1645236455,很不好用,用点心吧作者
6444478805,收藏,可不可以做个收藏栏呀？有些功能很喜欢，收藏起来方便找
6444478805,打不开,扫码关闭还是一样，没有开门成功，并且也不能投屏
6444478805,怎么又用不了了,？？
1659647017,6,这个太好用了。支持
1621682678,耗电发热严重,非常耗电，没看一会手机烫的不行，求改进。
1493800075,太棒了！,已经很久没有遇到让人这么兴奋的app了！
1621048312,很好,好
6444581520,怎么投屏呢？,怎么投屏
6444581520,是一款不错的下厨软件,菜谱挺全的
6444581520,好用,可以
6444581520,非常nice！,给五星好评！继续支持
6444581520,积累了烹饪经验,挺好
6444581520,低星保护,好东西
6444581520,怎么弄,救救孩子
6444581520,死活就是无法变身,无爱了。。。
6444581520,pad不能用？,pad怎么不能用
6444581520,骗人骗人,什么都没有
6444581520,闪退,iphone XR 12.1.2 闪退
6444581520,垃圾,被骗子骗的
6444581520,Ipad不能用，点三下还是没变，iPhone就正常。,不能用哦
6444581520,闪退加一,如题
6444581520,低分保护,东西是好东西 想保护
6444581520,怎么变身啊啊啊,怎么变身啊啊啊
6444581520,点左上角字三下,点
6444581520,非常好用的下厨软件，菜谱非常全,👍
6443536567,全是广告,低分保护
6443536567,实用的工具,🤫
6443536567,请联系我,开发者请联系我
6443536567,暗号是什么兄弟们,暗号
