appid,name,profile
1661466542,加解集 - 加密与解密工具合集,"这是一款个人集成多项功能集一身的工具集，其中是给想要某张图片生成一个专属的加密文字信息，通过工具集实现加密解密等工具。

还有MD5加解密，Base64，二进制转换，16进制转换，Url编解码，SHA加密等工具，后期我们还会优化和添加更多的工具。"
1659647017,春秋岁月 - 年龄计算器,"查看自己或他人经历过多少个春秋岁月，生日，倒计时和未来的生日

计算对比年龄工具，或多或少，查看历年当日所发生的大事件"
6444478805,迷离物业平台,物业app，可以在上面进行物业投诉，停车预约，保修，查看物业发布的信息等
1642889087,ACP - Aijia Court Propert,"Aijia Court Property is an extension of offline property services. Owners can report service matters and submit maintenance information in the app to improve the service level and efficiency of the property department and enhance the happiness of owners.
"
6444581520,小厨成长记,"-没有厨师一生出就是高级厨师
-在到达高级之前，会经历一知半解的初级，还有寻寻觅觅，柳暗花明的中级
-所有的历练，都在铸造更完美的自己
-何不让每一次的制作美食，都记录下来并且加以评分？
-在一次次追求完美中进步。
-在一次次进步中趋向完美"
6443536567,指尖宝-爱了爱,"记录恋爱天数，随时记录心动感情。这是一款小而美的APP。快来使用吧。用心行动为爱前行。

这是一款小而美的APP，让您在爱情的路上更长久。简单易用，随用随记录，随时随地的记录爱情。"
1642532217,童童折纸,"有时候玩心大起，想起来小时候的折纸，却忘了怎么折
幼儿园的小朋友回家要做手工制作，怎么办？

为您收集了多种折纸的方法，并进行了分类，有动物，衣服，船，飞机等等
提供了每一个步骤，总共多少步，方便您判断难易程度。
详细的折纸步骤一步一步教你学折纸，或教小朋友折纸，锻炼动手能力"
6444080920,作词海报生成器,"唱作人的作词创作小能手

有灵感可快速通过应用去记录并生成海报样式

保留您的灵感，助您更好地去创作"
6444225309,快乐点名,"老师在课堂中的小帮手“快乐点名”

支持多个班级的创建，快捷方便

后期将更新随机点名，在上课中可以随机抽查学生的作业和学习情况"
6443582601,木头师傅,"木头师傅，带你您认识木工工具，领略榫卯精华


工具赏析： 了解木工常用工具，锯，刨，尺等等
榫卯作品赏析：通过常见的木工成品了解榫卯的结构
榫卯：剖解榫卯结构的制作过程，有成品图与gif过程解析
心得学些记录：你可以将你平时见到的，看到的记录下来"
6444433997,经营小店,"经营小店
-自定义店铺资料，保存店铺的一些资料
-商品分类管理，通过分类区分店铺杂乱的商品
-商品管理，商品的价格，库存，名称，样式等资料的管理
-员工管理，店铺员工多的试试，可以统一管理，有利于员工的晋升和考核
-会员管理，通过这种方式，留住常客，多和常客联系
-经营心得，时刻记录经营所得到的心得体会
-店铺经营，记录每一笔店铺的支出和收入，实时监测收支情况"
6444916513,Pay Record,"Pay Record is an APP that helps you record your daily consumption, helps you record your expenditure and income, and helps you manage your money."
1573214556,天天录音,"天天录音是一款高质量录音APP，可用于记录日常中的一些灵感，会议，演讲等等
功能
高质量录音
播放录音，变速快进快退
可把录音转成文字(暂时只支持中文转换)"
1621048312,小萌相机,"美颜功能，从此不怕拍照手残
质感滤镜，随手拍都超完美，怎么拍都是女主角！"
1640953344,手指画,"可以尽情挥洒笔墨，画出心里的想法
临摹好看的图片

手指画
可以选择不同的背景进行涂鸦
可以从相册选择喜欢的背景开始涂鸦
可以从相册选择简笔画给您的小孩子进行临摹
对完成的涂鸦作品可以保存到相册"
6443976439,number&puzzle,"The latest version of digital puzzle game download is a new classic puzzle class digital software. The aim is to use a small number of steps, in the shortest time, the number of squares on the board, in order from left to right, from top to bottom."
1663530050,旅行计划 - 导游小助手,"旅行计划是一款给出行人事，提前做好路线计划并记录旅行每到一个线路景点打卡的App

应用可以把做好的线路或打卡记录通过保存图片到本地分享给好友们"
1658801872,EASS - Experiment assistant,"Lab Assistant
Your little lab helper
It will help you record all the details of the experiment from start to finish
It's a little flash card that allows you to quickly review all of your experiments
You can add and view all the experiments you've done

For more good suggestions and feedback, please feel free to contact us
Thanks for using"
6444918464,健康一家,"
吃药，记药，是你贴身健康的小药箱"
1640507964,音乐弹幕-手持LED音乐弹幕,"音乐弹幕是一款在iPhone或iPad上实现文字滚动的手持弹幕APP，提供高级弹幕设置，独家背景音乐支持~


应用场景如下：


【个性表达】自由想象 一切尽在不言中


【演唱会现场】挥动弹幕让爱豆看到


【电竞赛场】为喜爱的战队打CALL


【对象表白】表达心意 个性传情


【接机找人】人海中一眼被认出


【广告宣传】配合蓝牙音箱外放效果更好



产品功能如下：


【基本功能】字体颜色、滚动速度、字体大小、背景颜色设置


【高级功能】支持多种字体、闪烁发光、设置背景音乐


赶快下载体验哦！"
1542703802,小球快跑,"玩家通过点击屏幕控制小球的运动。
1.吃掉能量球可以增加分数
2.吃掉护盾可以保护玩家一次并可以加分
3.碰到杀手球会死亡或者丢失保护盾"
1663910742,柿子小本,"柿子小本是一款帮助大家记录健身时的数据和统计每日的数据的App

软件还添加了健身煅练时需要用上的计时小功能，可以帮助您计时和倒计时

愿软件能帮助您在健身的道路上坚持下去！加油！！！"
